Blatt;A;B;C;D;E;F
8-222;Spalte B;Spalte N;Spalte C;;;;
8-223;Spalte B;Spalte N;Spalte C;;;;
8-224;Spalte B;Spalte N;Spalte C;;;;
8-225;Spalte B;Spalte N;Spalte C;;;;
8-226;Spalte B;Spalte N;Spalte C;;;;
8-227;Spalte B;Spalte N;Spalte C;;;;
8-228;Spalte B;Spalte K;;;;;
8-229;Spalte B;Spalte K;;;;;
8-230;Spalte B;Spalte K;;;;;
8-231;Spalte B;Spalte N;Spalte C;;;;
8-232;Spalte B;Spalte N;Spalte C;;;;
8-233;Spalte B;Spalte N;Spalte C;;;;
8-234;Spalte B;Spalte N;Spalte C;;;;
8-235;Spalte B;Spalte N;Spalte C;;;;
8-236;Spalte B;Spalte N;Spalte C;;;;
8-244;Spalte B;Spalte J;;;;;
8-245;Spalte B;Spalte J;;;;;
8-246;Spalte B;Spalte I;;;;;
8-247;Spalte B;;;;;;
8-248;Spalte B;Spalte L;Spalte C;;;;
8-249;Spalte B;Spalte L;Spalte C;;;;
8-250;Spalte B;Spalte K;Spalte C;;;;
8-251;Spalte B;Spalte L;Spalte C;;;;
8-252;Spalte B;Spalte L;Spalte C;;;;
8-253;Spalte B;Spalte K;Spalte C;;;;
8-254;Spalte B;Spalte L;Spalte C;;;;
8-255;Spalte B;Spalte L;Spalte C;;;;
8-256;Spalte B;Spalte K;Spalte C;;;;
8-257;Spalte B;Spalte L;Spalte C;;;;
8-258;Spalte B;Spalte L;Spalte C;;;;
8-259;Spalte B;Spalte K;Spalte C;;;;
8-260;Spalte B;Spalte K;Spalte C;Spalte K;;;
8-261;Spalte B;Spalte K;Spalte C;Spalte K;;;
8-262;Spalte B;Spalte K;Spalte C;Spalte K;;;
8-263;Spalte B;Spalte J;Spalte C;Spalte J;;;
8-264;Spalte B;Spalte J;Spalte C;Spalte J;;;
8-265;Spalte B;Spalte K;Spalte C;Spalte K;;;
8-266;Spalte B;Spalte K;Spalte C;Spalte K;;;
8-267;Spalte B;Spalte J;Spalte C;Spalte J;;;
8-268;Spalte B;;Spalte C;;;;
8-269;Spalte B;;Spalte C;;;;
8-270;Spalte B;;Spalte C;;;;
8-271;Spalte B;;Spalte C;;;;
8-272;Spalte B;Spalte I;;;;;
8-273;Spalte B;Spalte F;;;;;
8-274;Spalte B;;;;;;
8-275;Spalte B;;;;;;
8-276;Spalte A;;;;;;
8-277;Spalte B;Spalte J;;;;;
8-278;Spalte A;;;;;;
8-279;Spalte A;;;;;;
8-280;Spalte A;;;;;;
8-281;Spalte A;;;;;;
8-282;Spalte A;;;;;;
8-283;Spalte A;;;;;;
8-284;Spalte A;;;;;;
8-285;Spalte B;;;;;;
8-286;Spalte A;Spalte E;;;;;
8-287;Spalte A;Spalte E;;;;;
8-288;Spalte B;Spalte F;;;;;
8-289;Spalte A;Spalte I;;;;;
8-290;Spalte A;Spalte H;;;;;
9-7;Spalte B;Spalte H;;;;;
9-8;Spalte B;Spalte K;Spalte C;Spalte K;;;
9-10;Spalte B;Spalte K;Spalte C;Spalte K;;;
9-11;Spalte B;Spalte K;;;;;
9-12;Spalte B;Spalte K;;;;;
9-13;Spalte B;Spalte K;;;;;
9-14;Spalte B;Spalte N;Spalte C;;;;
9-15;Spalte B;Spalte N;Spalte C;;;;
9-16;Spalte B;Spalte N;Spalte C;;;;
9-17;Spalte B;Spalte N;Spalte C;;;;
9-18;Spalte B;Spalte N;Spalte C;;;;
9-19;Spalte B;Spalte N;Spalte C;;;;
9-20;Spalte B;Spalte K;;;;;
9-21;Spalte B;Spalte K;;;;;
9-22;Spalte B;Spalte K;;;;;
9-23;Spalte B;Spalte K;;;;;
9-24;Spalte B;Spalte K;;;;;
9-25;Spalte B;Spalte K;;;;;
9-26;Spalte B;Spalte N;Spalte C;;;;
9-27;Spalte B;Spalte N;Spalte C;;;;
9-28;Spalte B;Spalte N;Spalte C;;;;
9-29;Spalte B;Spalte N;Spalte C;;;;
9-30;Spalte B;Spalte N;Spalte C;;;;
9-31;Spalte B;Spalte N;Spalte C;;;;
9-32;Spalte B;Spalte K;;;;;
9-33;Spalte B;Spalte K;;;;;
9-34;Spalte B;Spalte K;;;;;
9-35;Spalte B;Spalte N;Spalte C;;;;
9-36;Spalte B;Spalte N;Spalte C;;;;
9-37;Spalte B;Spalte N;Spalte C;;;;
9-38;Spalte B;Spalte N;Spalte C;;;;
9-39;Spalte B;Spalte N;Spalte C;;;;
9-40;Spalte B;Spalte N;Spalte C;;;;
9-41;Spalte B;Spalte L;Spalte C;Spalte L;;;
9-42;Spalte B;Spalte L;Spalte C;Spalte L;;;
9-43;Spalte B;Spalte K;Spalte C;Spalte K;;;
9-44;Spalte B;Spalte L;Spalte C;Spalte L;;;
9-45;Spalte B;Spalte L;Spalte C;Spalte L;;;
9-46;Spalte B;Spalte K;Spalte C;Spalte K;;;
9-47;Spalte B;Spalte K;Spalte C;;;;
9-48;Spalte B;Spalte K;Spalte C;;;;
9-49;Spalte B;Spalte K;Spalte C;;;;
9-50;Spalte B;Spalte K;Spalte C;;;;
9-51;Spalte B;Spalte L;Spalte C;;;;
9-52;Spalte B;Spalte J;;;;;
9-53;Spalte B;Spalte J;;;;;
9-54;Spalte B;Spalte J;;;;;
10-4;Spalte B;Spalte I;;;;;
10-5;Spalte B;Spalte I;;;;;
10-6;Spalte B;Spalte H;;;;;
10-7;Spalte B;Spalte J;Spalte C;;;;
10-8;Spalte B;Spalte J;Spalte C;;;;
10-9;Spalte B;Spalte I;Spalte C;;;;
10-10;Spalte B;Spalte K;Spalte C;;;;
10-11;Spalte B;Spalte K;Spalte C;;;;
10-12;Spalte B;Spalte J;Spalte C;;;;
10-13;Spalte B;Spalte M;;;;;
10-14;Spalte B;Spalte L;;;;;
10-15;Spalte B;Spalte L;;;;;
10-16;Spalte B;Spalte H;;;;;
10-18;Spalte B;Spalte L;;;;;
10-19;Spalte B;Spalte J;;;;;
11-4;Spalte B;Spalte K;Spalte C;;;;
11-5;Spalte B;Spalte K;Spalte C;;;;
11-6;Spalte B;Spalte F;Spalte C;;;;
12-2;Spalte A;Spalte E;;;;;
12-3;Spalte A;;;;;;
12-4;Spalte A;;;;;;
12-5;Spalte A;;;;;;
12-6;Spalte A;;;;;;
13-17;Spalte A;;;;;;
13-23;Spalte A;Spalte C;;;;;
13-24;Spalte B;;;;;;
13-25;Spalte B;;;;;;
13-26;Spalte B;;;;;;
13-27;Spalte B;;;;;;
13-28;Spalte C;Spalte J;;;;;
13-29;Spalte C;Spalte I;;;;;
13-30;Spalte B;;;;;;
13-32;Spalte C;;;;;;
13-33;Spalte C;;;;;;
14-2;Spalte B;;;;;;
14-3;Spalte B;Spalte J;;;;;
14-4;Spalte B;Spalte I;;;;;
14-5;Spalte B;Spalte I;;;;;
14-6;Spalte B;Spalte H;;;;;
14-7;Spalte C;;Spalte B;Spalte D;;;
14-8;Spalte C;;Spalte B;;;;
14-9;Spalte C;;Spalte B;;;;
15-9;Spalte C;;;;;;
15-10;Spalte C;;;;;;
15-12;Spalte C;;;;;;
15-15;Spalte C;;;;;;
15-16;Spalte F;Spalte N;;;;;
15-17;Spalte F;Spalte N;;;;;
15-18;Spalte B;;;;;;
15-19;Spalte B;;;;;;
15-20;Spalte A;;;;;;
15-21;Spalte A;;;;;;
15-24;Spalte C;Spalte D;;;;;
15-25;Spalte A;;;;;;
15-26;Spalte A;;;;;;
15-30;Spalte C;;;;;;
15-31;Spalte A;;;;;;
15-32;Spalte A;;;;;;
16-5;Spalte A;Spalte B;;;;;
